name,normalized_name,source_name,source_system,source_ref,source_count,food_category_id,data_types,calories,protein,fat,carbs
all-purpose flour,all-purpose flour,"flour, wheat, all-purpose, enriched, bleached",usda,789890,3,20.0,foundation_food,362.0,12.0,1.55,75.03
almond,almond,"nuts, almonds, dry roasted, with salt added",usda,323294,1,12.0,foundation_food,620.0,20.4,57.8,16.2
american cheese,american cheese,"cheese, pasteurized process, american, vitamin d fortified",usda,325198,1,1.0,foundation_food,366.0,18.0,30.6,5.27
banana,banana,"bananas, overripe, raw",usda,790774,4,9.0,foundation_food,91.0,0.74,0.26,21.55
bartlett pear,bartlett pear,"pears, raw, bartlett",usda,332597,2,9.0,foundation_food,57.0,0.38,0.16,15.1
beef eye of round roast,beef eye of round roast,"beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",usda,334898,2,13.0,foundation_food,122.0,23.4,2.48,0.0
beef porterhouse steak,beef porterhouse steak,"beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",usda,335109,2,13.0,foundation_food,145.0,22.7,5.32,0.0
beef t-bone steak grilled,beef t-bone steak grilled,"beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",usda,335061,2,13.0,foundation_food,219.0,27.3,11.4,0.0
beef tenderloin roast roasted,beef tenderloin roast roasted,"beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",usda,334897,2,13.0,foundation_food,176.0,27.7,6.36,0.0
beef top loin steak,beef top loin steak,"beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",usda,334849,2,13.0,foundation_food,155.0,22.8,6.39,0.0
beef top round roast,beef top round roast,"beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",usda,334963,2,13.0,foundation_food,123.0,23.7,2.41,0.0
bread flour,bread flour,"flour, bread, white, enriched, unbleached",usda,790146,1,20.0,foundation_food,363.0,14.3,1.65,72.8
breakfast sausage,breakfast sausage,"sausage, breakfast sausage, beef, pre-cooked, unprepared",usda,324157,4,7.0,foundation_food,248.5,15.0,19.55,2.15
broccoli,broccoli,"broccoli, raw",usda,321900,2,11.0,foundation_food,31.5,2.57,0.34,6.28
cantaloupe melon,cantaloupe melon,"melons, cantaloupe, raw",usda,327198,2,9.0,foundation_food,34.0,0.82,0.18,8.16
cheddar cheese,cheddar cheese,"cheese, cheddar",usda,328637,1,1.0,foundation_food,408.0,23.3,34.0,2.44
chicken breast braised,chicken breast braised,"chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",usda,331960,1,5.0,foundation_food,166.0,32.1,3.24,0.0
chicken drumstick braised,chicken drumstick braised,"chicken, broilers or fryers, drumstick, meat only, cooked, braised",usda,331897,1,5.0,foundation_food,156.0,23.9,5.95,0.0
chorizo sausage fried,chorizo sausage fried,"sausage, pork, chorizo, link or ground, cooked, pan-fried",usda,332864,2,7.0,foundation_food,346.0,19.3,28.1,2.63
coconut oil,coconut oil,"oil, coconut",usda,330458,1,4.0,foundation_food,833.0,0.0,99.1,0.84
